zip_code,median_income,neighborhood
91722,98033,Covina
91723,87363,Covina
91724,102129,Covina
91731,60887,El Monte
91732,67172,El Monte
91733,67245,South El Monte
91740,98819,Glendora
91741,127063,Glendora
91744,92624,La Puente
91745,106611,Hacienda Heights
91746,84967,La Puente
91748,83455,Rowland Heights
91750,104827,La Verne
91754,81890,Monterey Park
91755,74362,Monterey Park
91759,118750,Mt Baldy
91765,104737,Diamond Bar
91766,77699,Pomona
91767,80201,Pomona
91768,76313,Pomona
91770,73757,Rosemead
91773,105926,San Dimas
91775,113703,San Gabriel
91776,79926,San Gabriel
91780,101746,Temple City
91789,125742,Walnut
91790,100142,West Covina
91791,100365,West Covina
91792,96383,West Covina
91801,85549,Alhambra
91803,84537,Alhambra
92397,86370,Wrightwood
93243,34737,Lebec
93510,118462,Acton
93532,99432,Lake Hughes
93534,58891,Lancaster
93535,65989,Lancaster
93536,102927,Lancaster
93543,69375,Littlerock
93544,87069,Llano
93550,63811,Palmdale
93551,110850,Palmdale
93552,84894,Palmdale
93553,73029,Pearblossom
93560,76204,Rosamond
93563,,Valyermo
93591,60903,Palmdale
